shipment_id,booking_date,eta,actual_arrival,transit_days_planned,transit_days_actual,delay_days,origin_id,origin_name,dest_id,dest_name,commodity,hs_code,teu,total_cost_usd,carrier,status,risk_score,disruption_flag,transport_mode,distance_kkm
SHP-000001,2025-05-21,2025-06-08,2025-06-08,18,18,0,IN-TUT,Tuticorin Port,IN-MUN,Mundra Port,Medical Devices,HS-90,4,17816,MSC,delivered,0.513,0,sea,3.0
SHP-000002,2025-10-29,2025-11-18,2025-11-21,20,23,3,IN-BLR,Bangalore Hub (Whitefield),AE-DXB,Dubai (Jebel Ali),Petroleum Products,HS-27,5,7265,Maersk Line,delivered,0.369,0,road,3.2
SHP-000003,2025-03-05,2025-04-01,2025-04-01,27,27,0,IN-CHN,Chennai Port,IN-PUN,Pune DC (Chakan),Machinery,HS-84,5,16665,Hapag-Lloyd,delayed,0.406,0,road,4.9
SHP-000004,2025-05-23,2025-06-24,2025-06-26,32,34,2,AE-DXB,Dubai (Jebel Ali),IN-KOC,Kochi Port,Agricultural Products,HS-10,1,2255,ONE (Ocean Network Express),delivered,0.154,0,rail,2.9
SHP-000005,2025-07-14,2025-08-03,2025-08-15,20,32,12,LK-CMB,Colombo,SG-SIN,Singapore,Petroleum Products,HS-27,2,4256,ZIM Integrated Shipping,delayed,0.073,1,road,1.5
SHP-000006,2025-08-23,2025-09-04,2025-09-04,12,12,0,IN-COK,Kochi Warehouse,IN-DEL,Delhi ICD (Tughlakabad),Plastics,HS-39,4,12028,COSCO Shipping,delivered,0.358,0,rail,2.8
SHP-000007,2025-03-20,2025-05-02,2025-05-02,43,43,0,IN-VIZ,Visakhapatnam Port,IN-KOL,Kolkata Port,Textiles & Garments,HS-62,3,7128,Evergreen Marine,delivered,0.023,0,road,4.0
SHP-000008,2025-08-11,2025-08-24,2025-08-25,13,14,1,TH-LCH,Laem Chabang,IN-TUT,Tuticorin Port,Chemical Products,HS-38,15,58800,Hapag-Lloyd,delivered,0.673,0,rail,1.2
SHP-000009,2025-06-15,2025-07-19,2025-07-19,34,34,0,SG-SIN,Singapore,IN-JNPT,Nhava Sheva (JNPT),Food Products,HS-21,8,33648,ONE (Ocean Network Express),delayed,0.158,0,multimodal,4.2
SHP-000010,2025-03-26,2025-04-14,2025-04-15,19,20,1,IN-PAR,Paradip Port,IN-AMD,Ahmedabad DC,Machinery,HS-84,2,3334,PIL (Pacific Int. Line),delayed,0.361,0,road,2.5
SHP-000011,2025-04-26,2025-05-03,2025-05-03,7,7,0,IN-HYD,Hyderabad DC,IN-TUT,Tuticorin Port,Automobile Parts,HS-87,3,9630,PIL (Pacific Int. Line),delivered,0.12,0,road,0.8
SHP-000012,2025-09-06,2025-09-22,2025-09-23,16,17,1,LK-CMB,Colombo,US-LAX,Los Angeles,Plastics,HS-39,3,5385,PIL (Pacific Int. Line),in_transit,0.109,0,sea,3.5
SHP-000013,2026-01-08,2026-02-01,2026-02-04,24,27,3,IN-KOC,Kochi Port,IN-KOL,Kolkata Port,Agricultural Products,HS-10,2,3158,MSC,delivered,0.129,0,sea,2.5
SHP-000014,2025-10-04,2025-10-07,2025-10-19,3,15,12,IN-KOC,Kochi Port,IN-KOL,Kolkata Port,Plastics,HS-39,1,2789,COSCO Shipping,delivered,0.575,1,multimodal,1.8
SHP-000015,2025-06-01,2025-06-17,2025-06-29,16,28,12,IN-COK,Kochi Warehouse,IN-KND,Kandla Port,Automobile Parts,HS-87,4,4196,PIL (Pacific Int. Line),in_transit,0.073,1,rail,0.8
SHP-000016,2025-02-05,2025-03-18,2025-03-18,41,41,0,IN-GAU,Guwahati Warehouse,IN-VIZ,Visakhapatnam Port,Pharmaceuticals,HS-30,2,8892,COSCO Shipping,delivered,0.518,0,road,4.7
SHP-000017,2025-05-16,2025-06-13,2025-06-13,28,28,0,CN-NGB,Ningbo,MY-PTG,Port Klang,Automobile Parts,HS-87,3,11637,Hapag-Lloyd,delayed,0.024,0,rail,2.8
SHP-000018,2026-03-27,2026-04-14,2026-04-15,18,19,1,IN-PAR,Paradip Port,DE-HAM,Hamburg,Textiles & Garments,HS-62,2,6050,CMA CGM,in_transit,0.24,0,sea,4.7
SHP-000019,2026-04-01,2026-04-10,2026-04-12,9,11,2,IN-PAR,Paradip Port,NL-RTM,Rotterdam,Textiles & Garments,HS-62,2,6554,CMA CGM,delivered,0.133,0,road,4.6
SHP-000020,2025-08-05,2025-08-25,2025-08-25,20,20,0,IN-KOL,Kolkata Port,IN-VIZ,Visakhapatnam Port,Plastics,HS-39,5,17045,ONE (Ocean Network Express),disrupted,0.104,0,sea,0.8
SHP-000021,2025-10-26,2025-12-03,2025-12-03,38,38,0,IN-KND,Kandla Port,IN-CHN,Chennai Port,Steel & Iron,HS-72,1,2293,CMA CGM,delayed,0.559,0,multimodal,4.9
SHP-000022,2026-02-14,2026-02-28,2026-03-05,14,19,5,IN-KND,Kandla Port,LK-CMB,Colombo,Pharmaceuticals,HS-30,1,2160,Maersk Line,in_transit,0.188,0,rail,4.0
SHP-000023,2026-03-16,2026-04-18,2026-04-18,33,33,0,IN-KOC,Kochi Port,KR-BUS,Busan,Electronics,HS-85,2,8320,Yang Ming,in_transit,0.086,0,road,2.1
SHP-000024,2026-03-08,2026-04-14,2026-04-14,37,37,0,IN-GAU,Guwahati Warehouse,IN-DEL,Delhi ICD (Tughlakabad),Plastics,HS-39,1,1869,Maersk Line,delivered,0.079,0,sea,2.2
SHP-000025,2025-12-29,2026-01-28,2026-01-28,30,30,0,CN-SZX,Shenzhen,NL-RTM,Rotterdam,Electronics,HS-85,4,15356,ZIM Integrated Shipping,in_transit,0.063,0,road,3.5
SHP-000026,2025-06-08,2025-07-23,2025-07-24,45,46,1,IN-TUT,Tuticorin Port,ZA-DUR,Durban,Machinery,HS-84,4,12280,Evergreen Marine,delivered,0.206,0,road,2.3
SHP-000027,2025-04-18,2025-05-18,2025-05-21,30,33,3,IN-JNPT,Nhava Sheva (JNPT),ZA-DUR,Durban,Chemical Products,HS-38,4,10816,PIL (Pacific Int. Line),delivered,0.281,0,rail,3.5
SHP-000028,2025-11-21,2026-01-02,2026-01-02,42,42,0,US-NYC,New York/New Jersey,IN-GAU,Guwahati Warehouse,Plastics,HS-39,4,6880,COSCO Shipping,delayed,0.288,0,multimodal,2.7
SHP-000029,2025-12-19,2025-12-22,2025-12-27,3,8,5,LK-CMB,Colombo,IN-KND,Kandla Port,Plastics,HS-39,5,8480,MSC,delivered,0.04,0,multimodal,3.5
SHP-000030,2026-02-22,2026-03-29,2026-03-30,35,36,1,MY-PTG,Port Klang,IN-HYD,Hyderabad DC,Food Products,HS-21,2,2902,ZIM Integrated Shipping,in_transit,0.353,0,multimodal,3.3
SHP-000031,2026-01-01,2026-01-22,2026-01-22,21,21,0,US-LAX,Los Angeles,IN-HYD,Hyderabad DC,Textiles & Garments,HS-62,2,6024,ONE (Ocean Network Express),delivered,0.207,0,multimodal,2.3
SHP-000032,2025-04-16,2025-05-15,2025-05-16,29,30,1,IN-PUN,Pune DC (Chakan),IN-BLR,Bangalore Hub (Whitefield),Electronics,HS-85,10,8800,PIL (Pacific Int. Line),delayed,0.353,0,multimodal,2.9
SHP-000033,2025-05-20,2025-06-19,2025-06-20,30,31,1,AE-DXB,Dubai (Jebel Ali),IN-COK,Kochi Warehouse,Automobile Parts,HS-87,2,7162,Evergreen Marine,in_transit,0.237,0,sea,4.6
SHP-000034,2025-08-08,2025-08-19,2025-08-24,11,16,5,IN-MUN,Mundra Port,IN-VIZ,Visakhapatnam Port,Plastics,HS-39,1,2352,CMA CGM,delivered,0.173,0,sea,5.0
SHP-000035,2025-02-05,2025-03-21,2025-03-21,44,44,0,DE-HAM,Hamburg,AE-DXB,Dubai (Jebel Ali),Plastics,HS-39,10,16160,Maersk Line,delayed,0.355,0,rail,2.6
SHP-000036,2025-11-07,2025-12-18,2025-12-30,41,53,12,NL-RTM,Rotterdam,JP-YOK,Yokohama,Pharmaceuticals,HS-30,5,7350,MSC,disrupted,0.157,1,rail,1.0
SHP-000037,2026-02-05,2026-02-10,2026-02-10,5,5,0,ZA-DUR,Durban,IN-TUT,Tuticorin Port,Food Products,HS-21,4,4328,Evergreen Marine,delivered,0.139,0,multimodal,1.3
