reading_id,timestamp,node_id,node_name,temperature_c,humidity_pct,congestion_index,throughput_ratio,vibration_level,wind_speed_kmh,visibility_km,alert_level
SENS-0000001,2026-04-02 12:36:00,IN-MUM,Mumbai Warehouse (Bhiwandi),30.9,70.1,0.366,0.807,0.698,17.6,10.3,0
SENS-0000002,2026-04-07 10:00:00,IN-GAU,Guwahati Warehouse,27.1,83.1,0.281,0.789,0.185,5.8,10.5,0
SENS-0000003,2026-04-09 19:43:00,IN-KOL,Kolkata Port,32.2,77.6,0.227,0.732,0.522,21.5,6.1,0
SENS-0000004,2026-04-03 20:26:00,IN-GAU,Guwahati Warehouse,28.5,88.9,0.241,0.532,0.433,31.3,8.3,2
SENS-0000005,2026-04-10 13:04:00,IN-JNPT,Nhava Sheva (JNPT),35.9,63.2,0.251,0.887,0.351,1.7,5.5,0
SENS-0000006,2026-04-08 02:24:00,US-NYC,New York/New Jersey,30.2,84.3,0.112,0.838,0.392,15.6,7.5,0
SENS-0000007,2026-04-01 07:18:00,IN-PUN,Pune DC (Chakan),18.5,41.3,0.117,0.856,0.56,20.3,12.9,0
SENS-0000008,2026-04-10 16:16:00,IN-PAR,Paradip Port,26.4,69.6,0.321,0.837,0.507,13.6,3.6,0
SENS-0000009,2026-04-05 23:59:00,CN-SHA,Shanghai,24.8,79.8,0.332,0.611,0.429,21.2,12.0,0
SENS-0000010,2026-04-04 11:26:00,IN-MUM,Mumbai Warehouse (Bhiwandi),27.2,42.1,0.223,0.497,0.583,18.8,12.4,2
SENS-0000011,2026-04-03 21:11:00,KR-BUS,Busan,21.9,63.0,0.114,0.402,0.68,17.0,9.5,3
SENS-0000012,2026-04-01 03:04:00,IN-BLR,Bangalore Hub (Whitefield),39.7,87.1,0.391,0.674,0.506,22.8,11.1,1
SENS-0000013,2026-04-02 14:24:00,IN-JNPT,Nhava Sheva (JNPT),29.3,72.8,0.396,0.475,0.692,13.8,3.7,3
SENS-0000014,2026-04-02 04:04:00,JP-YOK,Yokohama,42.3,37.6,0.529,0.929,0.243,17.9,3.8,2
SENS-0000015,2026-04-02 18:03:00,IN-DEL,Delhi ICD (Tughlakabad),31.0,91.1,0.232,0.73,0.324,15.6,9.5,3
SENS-0000016,2026-04-10 12:03:00,DE-HAM,Hamburg,21.2,50.7,0.153,0.85,0.441,11.4,4.4,0
SENS-0000017,2026-04-05 06:49:00,IN-KND,Kandla Port,28.6,47.7,0.625,0.497,0.492,16.1,7.4,0
SENS-0000018,2026-04-08 23:24:00,LK-CMB,Colombo,21.2,58.1,0.353,0.885,0.6,11.1,5.7,3
SENS-0000019,2026-04-10 21:55:00,CN-SZX,Shenzhen,16.5,57.8,0.354,0.851,0.265,24.4,8.0,0
SENS-0000020,2026-04-02 00:23:00,ZA-DUR,Durban,23.8,58.9,0.166,0.93,0.658,13.4,11.5,0
SENS-0000021,2026-04-01 09:36:00,IN-PUN,Pune DC (Chakan),25.7,58.1,0.382,0.338,0.339,10.6,10.5,2
SENS-0000022,2026-04-05 12:10:00,MY-PTG,Port Klang,21.8,72.6,0.435,0.32,0.665,14.3,5.8,0
SENS-0000023,2026-04-09 05:15:00,ZA-DUR,Durban,32.3,61.8,0.126,0.788,0.87,9.5,9.5,0
SENS-0000024,2026-04-10 15:16:00,KR-BUS,Busan,31.8,40.3,0.252,0.375,0.582,24.6,9.9,1
SENS-0000025,2026-04-05 20:02:00,IN-BLR,Bangalore Hub (Whitefield),29.6,74.0,0.269,0.883,0.594,18.7,9.9,0
SENS-0000026,2026-04-08 15:59:00,KR-BUS,Busan,30.6,60.4,0.312,0.54,0.389,6.0,7.1,0
SENS-0000027,2026-04-09 10:53:00,IN-GAU,Guwahati Warehouse,26.4,67.2,0.53,0.841,0.77,8.4,6.8,0
SENS-0000028,2026-04-06 14:13:00,ZA-DUR,Durban,30.9,76.9,0.285,0.561,0.484,8.6,4.5,1
SENS-0000029,2026-04-01 21:14:00,CN-SZX,Shenzhen,13.5,85.9,0.492,0.394,0.44,8.7,11.0,0
SENS-0000030,2026-04-02 15:46:00,IN-VIZ,Visakhapatnam Port,43.6,59.6,0.582,0.515,0.346,26.5,11.0,0
SENS-0000031,2026-04-03 03:34:00,IN-KND,Kandla Port,23.8,71.4,0.349,0.652,0.438,21.9,9.3,1
SENS-0000032,2026-04-04 10:19:00,IN-COK,Kochi Warehouse,39.2,60.8,0.229,0.655,0.16,7.3,10.5,0
SENS-0000033,2026-04-08 03:34:00,CN-SZX,Shenzhen,35.2,95.4,0.15,0.545,0.231,8.7,12.2,1
SENS-0000034,2026-04-02 11:37:00,IN-TUT,Tuticorin Port,34.0,52.3,0.399,0.392,0.468,12.1,6.6,3
SENS-0000035,2026-04-09 13:22:00,IN-KOC,Kochi Port,25.3,94.3,0.626,0.48,0.095,15.5,2.5,3
SENS-0000036,2026-04-07 10:38:00,IN-HAZ,Hazira Port,28.9,64.8,0.143,0.812,0.984,20.4,6.1,0
SENS-0000037,2026-04-08 20:58:00,IN-KOC,Kochi Port,14.2,41.2,0.121,0.783,0.411,4.2,7.8,0
SENS-0000038,2026-04-10 10:37:00,IN-JNPT,Nhava Sheva (JNPT),15.7,87.9,0.087,0.362,0.733,15.7,7.2,0
SENS-0000039,2026-04-05 13:18:00,IN-HYD,Hyderabad DC,31.0,61.3,0.034,0.891,0.369,22.3,13.0,0
SENS-0000040,2026-04-10 18:07:00,IN-HAZ,Hazira Port,29.7,37.3,0.356,0.874,0.465,28.8,17.3,0
SENS-0000041,2026-04-06 08:41:00,IN-CHN,Chennai Port,27.8,66.3,0.242,0.76,0.735,16.3,4.6,0
SENS-0000042,2026-04-07 19:17:00,IN-VIZ,Visakhapatnam Port,24.2,72.5,0.236,0.837,0.764,15.5,8.7,0
SENS-0000043,2026-04-01 13:44:00,IN-KND,Kandla Port,28.4,65.4,0.094,0.512,0.508,11.9,5.8,0
SENS-0000044,2026-04-08 00:43:00,MY-PTG,Port Klang,31.1,44.7,0.188,0.74,0.548,12.1,12.4,0
SENS-0000045,2026-04-10 18:10:00,JP-YOK,Yokohama,24.9,49.4,0.061,0.615,0.422,9.7,2.3,0
SENS-0000046,2026-04-07 10:10:00,IN-CHN,Chennai Port,20.1,61.8,0.475,0.351,0.287,12.4,5.9,0
SENS-0000047,2026-04-02 05:45:00,SG-SIN,Singapore,31.0,59.9,0.293,0.434,0.433,10.6,3.8,0
SENS-0000048,2026-04-05 09:09:00,JP-YOK,Yokohama,29.1,82.7,0.505,0.407,0.519,13.0,9.9,1
SENS-0000049,2026-04-09 08:58:00,DE-HAM,Hamburg,23.4,49.3,0.473,0.879,0.485,27.7,10.0,2
SENS-0000050,2026-04-07 13:16:00,TH-LCH,Laem Chabang,41.5,49.2,0.103,0.898,0.767,0,13.7,0
SENS-0000051,2026-04-01 20:14:00,IN-HYD,Hyderabad DC,28.8,56.8,0.418,0.741,0.267,11.6,2.4,2
SENS-0000052,2026-04-04 22:16:00,IN-MUM,Mumbai Warehouse (Bhiwandi),31.6,70.7,0.144,0.517,0.351,6.8,7.3,0
SENS-0000053,2026-04-04 22:45:00,NL-RTM,Rotterdam,23.8,73.1,0.297,0.431,0.059,17.8,6.6,0
SENS-0000054,2026-04-02 16:29:00,KR-BUS,Busan,23.7,75.8,0.069,0.657,0.122,7.5,7.2,0
SENS-0000055,2026-04-09 22:24:00,IN-AMD,Ahmedabad DC,20.3,35.4,0.048,0.503,0.69,22.3,2.7,1
SENS-0000056,2026-04-01 03:59:00,KR-BUS,Busan,14.2,70.0,0.187,0.905,0.652,6.0,9.7,0
SENS-0000057,2026-04-04 23:38:00,IN-HAZ,Hazira Port,25.2,76.1,0.365,0.369,0.365,7.1,2.3,1
SENS-0000058,2026-04-09 14:34:00,IN-PAR,Paradip Port,29.8,59.8,0.172,0.373,0.534,28.8,10.9,0
SENS-0000059,2026-04-03 19:57:00,IN-AMD,Ahmedabad DC,15.1,64.8,0.471,0.656,0.453,17.1,6.0,2
